Product Name,Code,Department,BP,SP,WP,TRANSCOUNTY_MAIN,TRANSCOUNTY_ANNEX,PEAKFARM,TOTAL_STOCK
AGROVET TEST PRODUCT,ACCARICIDES,AGROVET,1000.0,1500.0,1300.0,0,0,1,1
AI gloves,CONSUMABLES,AGROVET,12.0,20.0,18.0,-1,0,0,-1
Actelic ASD Super Dust 100g,INSECTICIDES,AGROVET,135.0,200.0,200.0,-1,0,21,20
Actelic ASD Super Dust 50g,INSECTICIDES,AGROVET,88.0,120.0,120.0,-1,0,19,18
Actelic Super  200g,INSECTICIDES,AGROVET,232.0,350.0,350.0,-1,0,10,9
Actelic Super  500g,INSECTICIDES,AGROVET,485.0,650.0,650.0,-1,0,12,11
Actelic Super 1kg,INSECTICIDES,AGROVET,851.0,1100.0,1100.0,-1,0,0,-1
Actelic Super 2kg,INSECTICIDES,AGROVET,1385.0,1800.0,1700.0,-1,0,0,-1
Actelic gold 1kg,INSECTICIDES,AGROVET,1150.0,1300.0,1200.0,-1,0,0,-1
Actelic gold 200mg,INSECTICIDES,AGROVET,280.0,350.0,300.0,-1,0,0,-1
Actelic gold 2kg,INSECTICIDES,AGROVET,1100.0,1390.0,1390.0,-1,0,0,-1
Actelic gold 500g,INSECTICIDES,AGROVET,595.0,800.0,650.0,-1,0,0,-1
Actellic 100ml,INSECTICIDES,AGROVET,520.0,650.0,580.0,-1,0,0,-1
Actraz 100ml,DEWORMER,AGROVET,220.0,300.0,300.0,-1,0,0,-1
Actraz 40ml,DEWORMER,AGROVET,105.0,150.0,150.0,-1,0,0,-1
Adamycin 100mls,ANTIBIOTICS,AGROVET,365.0,430.0,400.0,-1,0,0,-1
Adamycin 50mls,ANTIBIOTICS,AGROVET,250.0,350.0,300.0,-1,0,-1,-2
Advanced Starter crumbs 50kg Unga,FEEDS,AGROVET,4570.0,4700.0,4700.0,-1,0,0,-1
Afrikelp 80ml,FOLIA FERTILIZER,AGROVET,85.0,150.0,120.0,-1,0,0,-1
Afya Bora Maziwa 2kg,MINERALS,AGROVET,320.0,400.0,350.0,-1,0,0,-1
Afya Bora maziwa 1kg,MINERALS,AGROVET,138.0,200.0,150.0,-1,0,0,-1
Afya Bora maziwa 5kg,MINERALS,AGROVET,650.0,800.0,800.0,-1,0,0,-1
Afya Bora stocklick 2kg,MINERALS,AGROVET,96.0,180.0,120.0,-1,0,0,-1
Agita 20g nollarts,INSECTICIDES,AGROVET,250.0,300.0,300.0,-1,0,0,-1
Agrigrow Veg 1kg,FOLIA FERTILIZER,AGROVET,285.0,400.0,400.0,-1,0,2,1
Agrigrow Veg 250g,FOLIA FERTILIZER,AGROVET,100.0,150.0,150.0,-1,0,0,-1
Agrigrow Veg 500g,FOLIA FERTILIZER,AGROVET,175.0,250.0,250.0,-1,0,0,-1
Agrigrow ff 1kg,FOLIA FERTILIZER,AGROVET,285.0,350.0,350.0,-1,0,6,5
